date,sma_50,sma_200,phase,crossover_date
2015-11-30,171.1550830078125,172.9564080810547,0,2015-09-03
2015-12-01,171.3946975708008,172.9715435028076,0,2015-09-03
2015-12-02,171.64105072021485,172.97753852844238,0,2015-09-03
2015-12-03,171.8434259033203,172.9718560028076,0,2015-09-03
2015-12-04,172.1251647949219,172.97783409118654,0,2015-09-03
2015-12-07,172.38634765625,172.97858665466308,0,2015-09-03
2015-12-08,172.7054949951172,172.9709506225586,0,2015-09-03
2015-12-09,172.9956591796875,172.9572794342041,1,2015-12-09
2015-12-10,173.2356103515625,172.94687896728516,1,2015-12-09
2015-12-11,173.39990295410155,172.92265998840332,1,2015-12-09
2015-12-14,173.53302185058592,172.89721549987792,1,2015-12-09
2015-12-15,173.64356048583986,172.88435592651368,1,2015-12-09
2015-12-16,173.81610961914063,172.88782974243165,1,2015-12-09
2015-12-17,173.9079443359375,172.87699462890626,1,2015-12-09
2015-12-18,173.90795043945312,172.86307487487792,1,2015-12-09
2015-12-21,173.93390411376953,172.852576751709,1,2015-12-09
2015-12-22,173.98767669677736,172.86386764526367,1,2015-12-09
2015-12-23,174.10556427001953,172.88782997131347,1,2015-12-09
2015-12-24,174.23386474609376,172.899556350708,1,2015-12-09
2015-12-28,174.30263580322264,172.91456413269043,1,2015-12-09
2015-12-29,174.39302734375,172.927434463501,1,2015-12-09
2015-12-30,174.45681549072265,172.93664947509765,1,2015-12-09
2015-12-31,174.4900665283203,172.9267551422119,1,2015-12-09
2016-01-04,174.49623962402345,172.90876907348633,1,2015-12-09
2016-01-05,174.4507159423828,172.88454605102538,1,2015-12-09
2016-01-06,174.32422393798828,172.85126914978028,1,2015-12-09
2016-01-07,174.12547119140626,172.80269973754883,1,2015-12-09
2016-01-08,173.8973516845703,172.75786613464356,1,2015-12-09
2016-01-11,173.63285552978516,172.71588134765625,1,2015-12-09
2016-01-12,173.39665405273436,172.6785043334961,1,2015-12-09
2016-01-13,173.0937466430664,172.61019134521484,1,2015-12-09
2016-01-14,172.80193450927734,172.5626055908203,1,2015-12-09
2016-01-15,172.4300048828125,172.50060485839845,0,2016-01-15
2016-01-19,172.0730987548828,172.43657752990723,0,2016-01-15
2016-01-20,171.67887908935546,172.35654022216798,0,2016-01-15
2016-01-21,171.30414154052735,172.2832038116455,0,2016-01-15
2016-01-22,171.02735412597656,172.2231787109375,0,2016-01-15
2016-01-25,170.69365814208984,172.14711166381835,0,2016-01-15
2016-01-26,170.4171746826172,172.07713874816895,0,2016-01-15
2016-01-27,170.15446990966797,172.00235618591307,0,2016-01-15
2016-01-28,169.94713317871094,171.93005813598631,0,2016-01-15
2016-01-29,169.7660397338867,171.87337577819824,0,2016-01-15
2016-02-01,169.58628662109376,171.81664657592773,0,2016-01-15
2016-02-02,169.29244415283202,171.75522094726563,0,2016-01-15
2016-02-03,169.02095794677734,171.69070220947265,0,2016-01-15
2016-02-04,168.74175048828124,171.62849761962892,0,2016-01-15
2016-02-05,168.40471740722657,171.54652976989746,0,2016-01-15
2016-02-08,168.02008087158202,171.45162994384765,0,2016-01-15
2016-02-09,167.63611877441406,171.35472885131836,0,2016-01-15
2016-02-10,167.24540130615233,171.2608201599121,0,2016-01-15
2016-02-11,166.82849060058595,171.1539040374756,0,2016-01-15
2016-02-12,166.44195220947265,171.0665924835205,0,2016-01-15
2016-02-16,166.14503784179686,171.00142936706544,0,2016-01-15
2016-02-17,165.94987396240234,170.93997787475587,0,2016-01-15
2016-02-18,165.67374847412108,170.87267601013184,0,2016-01-15
2016-02-19,165.4174984741211,170.8150855255127,0,2016-01-15
2016-02-22,165.23196228027345,170.77286293029786,0,2016-01-15
2016-02-23,165.03185607910157,170.71675384521484,0,2016-01-15
2016-02-24,164.83773529052735,170.65290489196778,0,2016-01-15
2016-02-25,164.75051147460937,170.60318405151367,0,2016-01-15
2016-02-26,164.63847381591796,170.55418411254882,0,2016-01-15
2016-02-29,164.46461181640626,170.49853385925292,0,2016-01-15
2016-03-01,164.31732177734375,170.45303108215333,0,2016-01-15
2016-03-02,164.2385348510742,170.41034080505372,0,2016-01-15
2016-03-03,164.2344662475586,170.3682032775879,0,2016-01-15
2016-03-04,164.213447265625,170.32911209106445,0,2016-01-15
2016-03-07,164.16411987304687,170.29132469177247,0,2016-01-15
2016-03-08,164.0349560546875,170.24167098999024,0,2016-01-15
2016-03-09,163.92816680908203,170.19829719543458,0,2016-01-15
2016-03-10,163.83205688476562,170.16515197753907,0,2016-01-15
2016-03-11,163.75340576171874,170.1373112487793,0,2016-01-15
2016-03-14,163.695263671875,170.10936920166014,0,2016-01-15
2016-03-15,163.6664468383789,170.08553398132324,0,2016-01-15
2016-03-16,163.7057733154297,170.06486373901367,0,2016-01-15
2016-03-17,163.76120300292968,170.05053604125976,0,2016-01-15
2016-03-18,163.87331756591797,170.03728034973145,0,2016-01-15
2016-03-21,164.07122985839842,170.03272537231445,0,2016-01-15
2016-03-22,164.30337188720702,170.02920295715333,0,2016-01-15
2016-03-23,164.50929107666016,170.02531051635742,0,2016-01-15
2016-03-24,164.6874038696289,170.02115966796876,0,2016-01-15
2016-03-28,164.94943237304688,170.00709335327147,0,2016-01-15
2016-03-29,165.1909457397461,169.99819900512696,0,2016-01-15
2016-03-30,165.51763153076172,169.99989471435546,0,2016-01-15
2016-03-31,165.8315594482422,170.00321395874025,0,2016-01-15
2016-04-01,166.21019317626954,170.00774238586425,0,2016-01-15
2016-04-04,166.55978240966797,170.0079987335205,0,2016-01-15
2016-04-05,166.80935119628907,169.99034713745118,0,2016-01-15
2016-04-06,167.14573425292969,169.9861336517334,0,2016-01-15
2016-04-07,167.3966390991211,169.96687324523927,0,2016-01-15
2016-04-08,167.6920031738281,169.94932678222656,0,2016-01-15
2016-04-11,167.96257537841797,169.93618934631348,0,2016-01-15
2016-04-12,168.18737670898437,169.93382720947267,0,2016-01-15
2016-04-13,168.4488052368164,169.94049240112304,0,2016-01-15
2016-04-14,168.76956085205077,169.96563995361328,0,2016-01-15
2016-04-15,169.06707458496095,169.9880061340332,0,2016-01-15
2016-04-18,169.3843780517578,170.00967582702637,0,2016-01-15
2016-04-19,169.77479766845704,170.03495338439942,0,2016-01-15
2016-04-20,170.2115103149414,170.0635555267334,1,2016-04-20
2016-04-21,170.62880096435546,170.0818963623047,1,2016-04-20
2016-04-22,171.04880249023438,170.1148631286621,1,2016-04-20
2016-04-25,171.5035220336914,170.14474578857423,1,2016-04-20
2016-04-26,171.8996209716797,170.16513679504394,1,2016-04-20
2016-04-27,172.24965118408204,170.1777621459961,1,2016-04-20
2016-04-28,172.51476043701172,170.17848075866698,1,2016-04-20
2016-04-29,172.7741793823242,170.17472206115724,1,2016-04-20
2016-05-02,173.06306518554686,170.1708664703369,1,2016-04-20
2016-05-03,173.27398834228515,170.15854682922364,1,2016-04-20
2016-05-04,173.50701629638672,170.1408674621582,1,2016-04-20
2016-05-05,173.72444580078124,170.1265377807617,1,2016-04-20
2016-05-06,173.914990234375,170.11699569702148,1,2016-04-20
2016-05-09,174.11605895996092,170.11316505432129,1,2016-04-20
2016-05-10,174.38667846679687,170.12937461853028,1,2016-04-20
2016-05-11,174.5469497680664,170.1423489379883,1,2016-04-20
2016-05-12,174.69315551757813,170.14493408203126,1,2016-04-20
2016-05-13,174.7954705810547,170.13381690979003,1,2016-04-20
2016-05-16,174.9211862182617,170.13109504699707,1,2016-04-20
2016-05-17,175.01130584716796,170.12149314880372,1,2016-04-20
2016-05-18,175.13956939697266,170.11512199401855,1,2016-04-20
2016-05-19,175.23912384033204,170.10744483947755,1,2016-04-20
2016-05-20,175.35794494628905,170.10237113952635,1,2016-04-20
2016-05-23,175.4174136352539,170.10331275939942,1,2016-04-20
2016-05-24,175.5266128540039,170.11726112365722,1,2016-04-20
2016-05-25,175.6654296875,170.1262356567383,1,2016-04-20
2016-05-26,175.7854360961914,170.14342819213869,1,2016-04-20
2016-05-27,175.8989099121094,170.16340690612793,1,2016-04-20
2016-05-31,175.99193756103514,170.18277084350586,1,2016-04-20
2016-06-01,176.0873501586914,170.20078178405763,1,2016-04-20
2016-06-02,176.1955432128906,170.21661560058592,1,2016-04-20
2016-06-03,176.31600372314452,170.23232261657714,1,2016-04-20
2016-06-06,176.45622863769532,170.25954399108886,1,2016-04-20
2016-06-07,176.60003204345702,170.30640098571777,1,2016-04-20
2016-06-08,176.72355865478517,170.38192863464354,1,2016-04-20
2016-06-09,176.82681030273437,170.49113059997558,1,2016-04-20
2016-06-10,176.90433349609376,170.60111640930177,1,2016-04-20
2016-06-13,176.93040100097656,170.67406982421875,1,2016-04-20
2016-06-14,176.96089813232422,170.72511863708496,1,2016-04-20
2016-06-15,177.02155364990233,170.77489036560058,1,2016-04-20
2016-06-16,177.05477752685547,170.83405044555664,1,2016-04-20
2016-06-17,177.11686370849608,170.91463096618654,1,2016-04-20
2016-06-20,177.19235809326173,170.98565185546875,1,2016-04-20
2016-06-21,177.28613677978515,171.05861198425293,1,2016-04-20
