ticker,type,exchange,start_date,end_date,trading_days,file_format,last_close,avg_close,avg_volume,avg_dollar_volume,source,gcs_available,gcs_file,file_size_bytes
ACVA,us_equity,US,2021-03-24,2025-10-17,1149.0,parquet,8.58,15.94,1410928.0,22496745.0,local,False,,
ADEA,us_equity,US,2003-11-13,2025-10-17,5517.0,parquet,16.56,10.62,1219016.0,12950143.0,local,False,,
ADF.L,international,L,2022-01-05,2025-10-17,956.0,parquet,17.5,48.57,192110.0,9330778.0,local,False,,
ADNT,us_equity,US,2016-10-17,2025-09-04,2233.0,parquet,24.45,36.51,1214505.0,44336250.0,local,True,ADNT_full_history.csv,236079.0
ADNT_full_history,us_equity,US,2016-10-17,2025-09-04,2233.0,csv,24.45,36.51,1214505.0,44336250.0,local,False,,
ADPT,us_equity,US,,,,csv,,,,,gcs,True,ADPT_full_history.csv,162210.0
ADV.DE,international,DE,1999-03-30,2025-10-17,6794.0,parquet,21.5,11.54,181523.0,2095663.0,local,False,,
AESI,us_equity,US,2023-03-09,2025-10-17,656.0,parquet,10.24,18.45,1073540.0,19806141.0,local,False,,
AEVA,us_equity,US,,,,csv,,,,,gcs,True,AEVA_full_history.csv,133292.0
AFGE,us_equity,US,2020-09-18,2025-10-17,1277.0,parquet,18.04,21.15,12709.0,268769.0,local,False,,
AGM,us_equity,US,1994-02-10,2025-10-17,7975.0,parquet,156.13,46.49,63676.0,2960143.0,local,False,,
AIN,us_equity,US,1987-09-30,2025-10-17,9586.0,parquet,56.16,35.47,126535.0,4487986.0,local,True,AIN_full_history.csv,1021938.0
AIO,us_equity,US,2019-10-29,2025-10-17,1501.0,parquet,23.67,21.2,108569.0,2301366.0,local,False,,
AIXA.DE,international,DE,1998-11-09,2025-10-17,6895.0,parquet,13.0,17.11,759833.0,13002707.0,local,False,,
ALT.L,international,L,2005-11-07,2025-10-17,5042.0,parquet,25.5,33.25,83669.0,2782333.0,local,False,,
AMC,us_equity,US,2013-12-18,2025-11-21,3001.0,parquet,2.2,152.71,5403195.0,825108872.0,local,False,,
AME6.DE,international,DE,2018-04-20,2025-10-17,1906.0,parquet,141.4,101.37,3496.0,354462.0,local,False,,
AMPX,us_equity,US,2022-09-15,2025-10-17,776.0,parquet,11.84,4.85,2215042.0,10745816.0,local,False,,
ANIP,us_equity,US,,,,csv,,,,,gcs,True,ANIP_full_history.csv,630743.0
AOD,us_equity,US,2007-04-23,2025-10-17,4654.0,parquet,9.6,11.41,414557.0,4731085.0,local,False,,
ARCB,us_equity,US,1992-05-13,2025-10-17,8418.0,parquet,73.42,32.93,306819.0,10103904.0,local,False,,
ARDT,us_equity,US,,,,csv,,,,,gcs,True,ARDT_full_history.csv,30074.0
ARHS,us_equity,US,2021-11-04,2025-10-17,992.0,parquet,10.45,10.22,1089259.0,11136576.0,local,False,,
ARI,us_equity,US,2009-09-24,2025-10-17,4042.0,parquet,9.98,15.01,808364.0,12136183.0,local,False,,
ARLO,us_equity,US,2018-08-03,2025-10-17,1812.0,parquet,17.54,8.21,1050941.0,8626573.0,local,True,ARLO_full_history.csv,186219.0
ARQT,us_equity,US,,,,csv,,,,,gcs,True,ARQT_full_history.csv,147443.0
ASO,us_equity,US,2020-10-02,2025-10-17,1267.0,parquet,51.54,46.03,1852178.0,85251081.0,local,False,,
ASTH,us_equity,US,2009-03-11,2025-10-17,4179.0,parquet,32.01,17.92,98798.0,1770263.0,local,False,,
ATEN,us_equity,US,2014-03-21,2025-10-17,2913.0,parquet,17.46,10.27,595404.0,6117372.0,local,False,,
