date,open,high,low,close,volume
2017-08-17,64.27999877929688,64.27999877929688,64.27999877929688,64.27999877929688,0
2017-08-18,64.27999877929688,64.27999877929688,64.27999877929688,64.27999877929688,0
2017-08-21,65.27999877929688,65.27999877929688,63.56999969482422,63.56999969482422,104
2017-08-22,64.51000213623047,64.51000213623047,64.30999755859375,64.30999755859375,40
2017-08-23,64.5,64.5,63.720001220703125,64.33999633789062,111
2017-08-24,63.709999084472656,64.19000244140625,63.709999084472656,64.19000244140625,22
2017-08-25,63.900001525878906,65.25,63.900001525878906,64.13999938964844,57
2017-08-28,64.5,64.5,64.5,64.5,38
2017-08-29,66.0,66.05000305175781,64.02999877929688,64.5,320
2017-08-30,64.5,64.5,64.5,64.5,0
2017-08-31,63.5,63.5,62.0099983215332,63.16999816894531,645
2017-09-01,63.16999816894531,63.16999816894531,63.16999816894531,63.16999816894531,0
2017-09-04,63.08000183105469,65.0,63.08000183105469,64.83000183105469,477
2017-09-05,64.83000183105469,64.83000183105469,64.83000183105469,64.83000183105469,0
2017-09-06,66.0199966430664,66.05000305175781,65.25,65.25,163
2017-09-07,66.3499984741211,66.3499984741211,66.3499984741211,66.3499984741211,104
2017-09-08,66.33999633789062,66.33999633789062,65.18000030517578,65.18000030517578,120
2017-09-11,65.18000030517578,65.18000030517578,65.18000030517578,65.18000030517578,0
2017-09-12,65.18000030517578,65.18000030517578,65.18000030517578,65.18000030517578,0
2017-09-13,65.0,65.18000030517578,65.0,65.18000030517578,100
2017-09-14,66.33999633789062,66.3499984741211,65.5,65.5,150
2017-09-15,66.47000122070312,67.88999938964844,63.0099983215332,65.55000305175781,1323
2017-09-18,66.33999633789062,67.33999633789062,66.33999633789062,66.41999816894531,122
2017-09-19,65.58999633789062,65.58999633789062,64.5,65.4800033569336,629
2017-09-20,66.48999786376953,66.48999786376953,65.75,65.75,75
2017-09-21,65.75,65.75,65.75,65.75,0
2017-09-22,65.20999908447266,66.8499984741211,65.0,66.30999755859375,491
2017-09-25,67.30000305175781,67.30000305175781,65.20999908447266,65.5,230
2017-09-26,66.8499984741211,66.8499984741211,66.41000366210938,66.41000366210938,200
2017-09-27,66.41000366210938,66.41000366210938,66.41000366210938,66.41000366210938,0
2017-09-28,67.9000015258789,67.9000015258789,66.5,66.5,300
2017-09-29,68.3499984741211,68.87999725341797,68.30000305175781,68.4800033569336,483
2017-10-02,66.05000305175781,66.98999786376953,66.0,66.0,518
2017-10-03,66.0,66.0,66.0,66.0,0
2017-10-04,66.5,67.83999633789062,66.5,67.66999816894531,110
2017-10-05,67.01000213623047,67.37999725341797,67.01000213623047,67.37999725341797,96
2017-10-06,67.01000213623047,67.5,67.01000213623047,67.5,25
2017-10-09,67.0,67.25,67.0,67.25,7
2017-10-10,68.38999938964844,68.38999938964844,67.0,67.0,60
2017-10-11,66.7699966430664,66.93000030517578,66.7699966430664,66.93000030517578,110
2017-10-12,68.08999633789062,68.08999633789062,66.93000030517578,66.93000030517578,35
2017-10-13,68.0999984741211,68.0999984741211,67.93000030517578,67.93000030517578,219
2017-10-16,67.93000030517578,67.93000030517578,67.93000030517578,67.93000030517578,0
2017-10-17,68.01000213623047,68.01000213623047,66.7699966430664,66.7699966430664,198
2017-10-18,67.48999786376953,67.48999786376953,65.66999816894531,67.0,388
2017-10-19,67.83999633789062,67.83999633789062,66.9000015258789,67.37999725341797,26
2017-10-20,68.0,68.0,67.01000213623047,67.01000213623047,45
2017-10-23,66.30999755859375,66.33000183105469,66.30999755859375,66.33000183105469,30
2017-10-24,66.33000183105469,66.33000183105469,66.33000183105469,66.33000183105469,0
2017-10-25,66.33000183105469,66.33000183105469,66.33000183105469,66.33000183105469,0
2017-10-26,66.01000213623047,67.0,66.0,67.0,538
2017-10-27,67.98999786376953,67.98999786376953,67.05000305175781,67.05000305175781,1
2017-10-30,66.0199966430664,67.62999725341797,66.0199966430664,67.62999725341797,5
2017-10-31,67.62999725341797,67.62999725341797,67.62999725341797,67.62999725341797,0
2017-11-01,67.62999725341797,67.62999725341797,67.62999725341797,67.62999725341797,0
2017-11-02,67.98999786376953,67.98999786376953,67.87999725341797,67.87999725341797,140
2017-11-03,67.87999725341797,67.87999725341797,67.87999725341797,67.87999725341797,0
2017-11-06,67.98999786376953,67.98999786376953,67.19999694824219,67.19999694824219,289
2017-11-07,66.41000366210938,67.0999984741211,66.4000015258789,67.0999984741211,100
2017-11-08,66.08000183105469,67.0199966430664,66.08000183105469,67.0199966430664,69
2017-11-09,66.08000183105469,66.9800033569336,66.05000305175781,66.9800033569336,159
2017-11-10,66.9800033569336,66.9800033569336,66.9800033569336,66.9800033569336,0
2017-11-13,66.98999786376953,66.98999786376953,65.5,66.25,231
2017-11-14,67.05000305175781,67.05000305175781,66.5,66.5,30
2017-11-15,65.5,65.5,65.5,65.5,100
2017-11-16,65.5,65.5,65.5,65.5,0
2017-11-17,65.5,65.5,65.5,65.5,0
2017-11-20,66.79000091552734,66.79000091552734,65.12000274658203,65.95999908447266,60
2017-11-21,66.79000091552734,66.79000091552734,66.62999725341797,66.62999725341797,52
2017-11-22,66.62999725341797,66.62999725341797,66.62999725341797,66.62999725341797,0
2017-11-23,66.98999786376953,69.97000122070312,66.98999786376953,69.97000122070312,1000
2017-11-24,69.97000122070312,69.97000122070312,69.97000122070312,69.97000122070312,0
2017-11-27,69.97000122070312,69.97000122070312,69.97000122070312,69.97000122070312,0
2017-11-28,66.5999984741211,67.80000305175781,66.5999984741211,67.44999694824219,54
2017-11-29,67.44999694824219,67.44999694824219,67.44999694824219,67.44999694824219,0
2017-11-30,67.44999694824219,67.44999694824219,67.44999694824219,67.44999694824219,0
2017-12-01,67.44999694824219,67.44999694824219,67.44999694824219,67.44999694824219,0
2017-12-04,67.01000213623047,67.7750015258789,67.01000213623047,67.7750015258789,5
2017-12-05,67.7750015258789,67.7750015258789,67.7750015258789,67.7750015258789,0
2017-12-06,68.0,68.25,67.70999908447266,68.25,94
2017-12-07,67.80999755859375,68.30000305175781,67.80999755859375,68.30000305175781,32
